"metric","location","region","Period","status","n_transects","n_sites","n_dates","n_positive","prop_zero"
"M1 fish total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M1 fish total abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M1 fish total abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M1 fish total abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,72,0
"M1 fish total abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,10,0.5
"M2 fish total abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",211,10,16,186,0.11848341232227488
"M2 fish total abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",165,4,13,140,0.15151515151515152
"M2 fish total abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,22,0.5
"M2 fish total abundance","Carrickalinga","Fleurieu","Bloom","No-take",19,4,1,11,0.42105263157894735
"M2 fish total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,8,0.4666666666666667
"M2 fish total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,8,0.3333333333333333
"M2 fish total abundance","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,52,0.5555555555555556
"M2 fish total abundance","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,11,0.5416666666666666
"M2 fish total abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,10,0.6428571428571429
"M2 fish total abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,4,0.5
"M2 fish total abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,59,0.016666666666666666
"M2 fish total abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,2,0.75
"M2 fish total abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,207,0.16532258064516128
"M2 fish total abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,147,0.1694915254237288
"M2 fish total abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,20,0.3333333333333333
"M2 fish total abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,12,0.14285714285714285
"M2 fish total abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,48,0.4725274725274725
"M2 fish total abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,6,0.7857142857142857
"M2 fish total abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",134,7,13,121,0.09701492537313433
"M2 fish total abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,85,0.011627906976744186
"M2 fish total abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,14,0.3
"M2 fish total abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,12,0.5
"M2 fish total abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",19,3,2,9,0.5263157894736842
"M2 fish total abundance","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,13,0.13333333333333333
"M2 fish total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,56,0.06666666666666667
"M2 fish total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,61,0.10294117647058823
"M2 fish total abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,11,0.08333333333333333
"M2 fish total abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,6,0.25
"M2 fish total abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,67,0.06944444444444445
"M2 fish total abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,10,0.5
"M2 invertebrate total abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,208,0.018867924528301886
"M2 invertebrate total abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
"M2 invertebrate total abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,44,0
"M2 invertebrate total abundance","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M2 invertebrate total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,15,0
"M2 invertebrate total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,12,0
"M2 invertebrate total abundance","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,117,0
"M2 invertebrate total abundance","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate total abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,28,0
"M2 invertebrate total abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate total abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,60,0
"M2 invertebrate total abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,8,0
"M2 invertebrate total abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,248,0
"M2 invertebrate total abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,176,0.005649717514124294
"M2 invertebrate total abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M2 invertebrate total abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M2 invertebrate total abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,91,0
"M2 invertebrate total abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M2 invertebrate total abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,136,0
"M2 invertebrate total abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M2 invertebrate total abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,20,0
"M2 invertebrate total abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,23,0.041666666666666664
"M2 invertebrate total abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,20,0
"M2 invertebrate total abundance","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,15,0
"M2 invertebrate total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
"M2 invertebrate total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M2 invertebrate total abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M2 invertebrate total abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate total abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,72,0
"M2 invertebrate total abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,17,0.15
"M2 invertebrate Echinodermata abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,202,0.04716981132075472
"M2 invertebrate Echinodermata abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,158,0.04819277108433735
"M2 invertebrate Echinodermata abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,40,0.09090909090909091
"M2 invertebrate Echinodermata abundance","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,12,0.4
"M2 invertebrate Echinodermata abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,15,0
"M2 invertebrate Echinodermata abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,3,0.75
"M2 invertebrate Echinodermata abundance","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,117,0
"M2 invertebrate Echinodermata abundance","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate Echinodermata abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,25,0.10714285714285714
"M2 invertebrate Echinodermata abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate Echinodermata abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,60,0
"M2 invertebrate Echinodermata abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,2,0.75
"M2 invertebrate Echinodermata abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,247,0.004032258064516129
"M2 invertebrate Echinodermata abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,175,0.011299435028248588
"M2 invertebrate Echinodermata abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,28,0.06666666666666667
"M2 invertebrate Echinodermata abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,10,0.2857142857142857
"M2 invertebrate Echinodermata abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,91,0
"M2 invertebrate Echinodermata abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,18,0.35714285714285715
"M2 invertebrate Echinodermata abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,136,0
"M2 invertebrate Echinodermata abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M2 invertebrate Echinodermata abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,9,0.55
"M2 invertebrate Echinodermata abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,10,0.5833333333333334
"M2 invertebrate Echinodermata abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,20,0
"M2 invertebrate Echinodermata abundance","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,15,0
"M2 invertebrate Echinodermata abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,56,0.06666666666666667
"M2 invertebrate Echinodermata abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,67,0.014705882352941176
"M2 invertebrate Echinodermata abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,10,0.16666666666666666
"M2 invertebrate Echinodermata abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate Echinodermata abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,72,0
"M2 invertebrate Echinodermata abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,1,0.95
"M2 invertebrate Arthropoda abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,140,0.33962264150943394
"M2 invertebrate Arthropoda abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,129,0.22289156626506024
"M2 invertebrate Arthropoda abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,42,0.045454545454545456
"M2 invertebrate Arthropoda abundance","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M2 invertebrate Arthropoda abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,8,0.4666666666666667
"M2 invertebrate Arthropoda abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,12,0
"M2 invertebrate Arthropoda abundance","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,100,0.1452991452991453
"M2 invertebrate Arthropoda abundance","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate Arthropoda abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,27,0.03571428571428571
"M2 invertebrate Arthropoda abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate Arthropoda abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,59,0.016666666666666666
"M2 invertebrate Arthropoda abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,8,0
"M2 invertebrate Arthropoda abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,176,0.2903225806451613
"M2 invertebrate Arthropoda abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,95,0.4632768361581921
"M2 invertebrate Arthropoda abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,29,0.03333333333333333
"M2 invertebrate Arthropoda abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,13,0.07142857142857142
"M2 invertebrate Arthropoda abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,72,0.2087912087912088
"M2 invertebrate Arthropoda abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M2 invertebrate Arthropoda abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,117,0.13970588235294118
"M2 invertebrate Arthropoda abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,73,0.1511627906976744
"M2 invertebrate Arthropoda abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,18,0.1
"M2 invertebrate Arthropoda abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,21,0.125
"M2 invertebrate Arthropoda abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,16,0.2
"M2 invertebrate Arthropoda abundance","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,14,0.06666666666666667
"M2 invertebrate Arthropoda abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,50,0.16666666666666666
"M2 invertebrate Arthropoda abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,44,0.35294117647058826
"M2 invertebrate Arthropoda abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M2 invertebrate Arthropoda abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate Arthropoda abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,70,0.027777777777777776
"M2 invertebrate Arthropoda abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,17,0.15
"M2 invertebrate Mollusca abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,196,0.07547169811320754
"M2 invertebrate Mollusca abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,165,0.006024096385542169
"M2 invertebrate Mollusca abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,41,0.06818181818181818
"M2 invertebrate Mollusca abundance","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M2 invertebrate Mollusca abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,14,0.06666666666666667
"M2 invertebrate Mollusca abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,8,0.3333333333333333
"M2 invertebrate Mollusca abundance","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,117,0
"M2 invertebrate Mollusca abundance","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate Mollusca abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,27,0.03571428571428571
"M2 invertebrate Mollusca abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate Mollusca abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,60,0
"M2 invertebrate Mollusca abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,7,0.125
"M2 invertebrate Mollusca abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,231,0.06854838709677419
"M2 invertebrate Mollusca abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,156,0.11864406779661017
"M2 invertebrate Mollusca abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M2 invertebrate Mollusca abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M2 invertebrate Mollusca abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,91,0
"M2 invertebrate Mollusca abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M2 invertebrate Mollusca abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,134,0.014705882352941176
"M2 invertebrate Mollusca abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,81,0.05813953488372093
"M2 invertebrate Mollusca abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,18,0.1
"M2 invertebrate Mollusca abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,23,0.041666666666666664
"M2 invertebrate Mollusca abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,20,0
"M2 invertebrate Mollusca abundance","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,15,0
"M2 invertebrate Mollusca abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,59,0.016666666666666666
"M2 invertebrate Mollusca abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,52,0.23529411764705882
"M2 invertebrate Mollusca abundance","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M2 invertebrate Mollusca abundance","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate Mollusca abundance","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,69,0.041666666666666664
"M2 invertebrate Mollusca abundance","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,9,0.55
