spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,No-take,0,0,24,0,0,8,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,overall,Overall,0,0,141,0,0,36,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2025-06,by_status,Fished,0,0,117,0,0,8,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2025-06,overall,Overall,0,0,141,0,0,8,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,by_status,Fished,0,0,117,0,0,12,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,by_status,No-take,0,0,24,0,0,4,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,overall,Overall,0,0,141,0,0,16,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,by_status,Fished,0,0,117,0,0,8,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,by_status,No-take,0,0,24,0,0,4,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,overall,Overall,0,0,141,0,0,12,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period,Bloom,by_status,Fished,1.317288997769094,0.050013900361261666,115,0.6076502558123109,0.09760274994213324,28,-0.7096387419567831,46.12884923820074,-53.87115076179926,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period,Bloom,by_status,No-take,0.8224108093320569,0.11845175173686359,14,0.3158622032232669,0.14165706681850945,8,-0.50654860610879,38.40686426286188,-61.59313573713812,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period,Bloom,overall,Overall,1.2635812873960823,0.048226413173042285,129,0.5428084663480789,0.08383363447694119,36,-0.7207728210480034,42.95793802602666,-57.04206197397334,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2025-06,by_status,Fished,1.317288997769094,0.050013900361261666,115,0.8236788178235863,0.21681470897255442,8,-0.4936101799455077,62.52833047406716,-37.47166952593284,FALSE,Medium
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2025-06,overall,Overall,1.2635812873960823,0.048226413173042285,129,0.8236788178235863,0.21681470897255442,8,-0.439902469572496,65.18605696678031,-34.81394303321969,FALSE,Medium
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-02,by_status,Fished,1.317288997769094,0.050013900361261666,115,0.6291332838595208,0.14313944572360737,12,-0.6881557139095732,47.75970078889256,-52.24029921110744,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-02,by_status,No-take,0.8224108093320569,0.11845175173686359,14,0.6317244064465338,0.16471822532698924,4,-0.19068640288552308,76.81372852572376,-23.18627147427624,FALSE,Medium
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-02,overall,Overall,1.2635812873960823,0.048226413173042285,129,0.629781064506274,0.11236362453583788,16,-0.6338002228898083,49.84096162140005,-50.15903837859995,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-05,by_status,Fished,1.317288997769094,0.050013900361261666,115,0.3593971517302204,0.13315814004034787,8,-0.9578918460388737,27.283090676296585,-72.71690932370342,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-05,by_status,No-take,0.8224108093320569,0.11845175173686359,14,0,0,4,-0.8224108093320569,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-05,overall,Overall,1.2635812873960823,0.048226413173042285,129,0.23959810115348026,0.10065635188083033,12,-1.023983186242602,18.961827271693032,-81.03817272830696,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period,Bloom,by_status,Fished,0.08000019769651351,0.018288928011027304,117,0.012377628224284737,0.012377628224284737,28,-0.06762256947222878,15.471997045857508,-84.5280029541425,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period,Bloom,by_status,No-take,0.09118548215128264,0.03412638393027179,24,0,0,8,-0.09118548215128264,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period,Bloom,overall,Overall,0.0819040759015806,0.016206908769578296,141,0.009627044174443685,0.009627044174443685,36,-0.07227703172713691,11.754047730191045,-88.24595226980895,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2025-06,by_status,Fished,0.08000019769651351,0.018288928011027304,117,0,0,8,-0.08000019769651351,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2025-06,overall,Overall,0.0819040759015806,0.016206908769578296,141,0,0,8,-0.0819040759015806,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-02,by_status,Fished,0.08000019769651351,0.018288928011027304,117,0.028881132523331052,0.028881132523331056,12,-0.05111906517318246,36.101326440334184,-63.898673559665816,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-02,by_status,No-take,0.09118548215128264,0.03412638393027179,24,0,0,4,-0.09118548215128264,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-02,overall,Overall,0.0819040759015806,0.016206908769578296,141,0.02166084939249829,0.02166084939249829,16,-0.0602432265090823,26.44660739292985,-73.55339260707015,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-05,by_status,Fished,0.08000019769651351,0.018288928011027304,117,0,0,8,-0.08000019769651351,0,-100,FALSE,High
