spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period,Bloom,by_status,Fished,1.4545502911510428,0.05435772610824763,212,1.0634148382811484,0.12092427793026855,44,-0.3911354528698945,73.1095270304904,-26.890472969509602,FALSE,Medium
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period,Bloom,by_status,No-take,1.6428730725171672,0.05212723060221806,166,1.6029738032904468,0.12501154137632975,20,-0.03989926922672038,97.57137237841583,-2.4286276215841696,FALSE,Low
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period,Bloom,overall,Overall,1.5372528882589176,0.03837861932347919,378,1.2320270148465542,0.09657793318772041,64,-0.3052258734123634,80.14471947045354,-19.855280529546462,FALSE,Low
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period_split,Bloom 2026-01,by_status,Fished,1.4545502911510428,0.05435772610824763,212,1.0634148382811484,0.12092427793026855,44,-0.3911354528698945,73.1095270304904,-26.890472969509602,FALSE,Medium
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period_split,Bloom 2026-01,by_status,No-take,1.6428730725171672,0.05212723060221806,166,1.6029738032904468,0.12501154137632975,20,-0.03989926922672038,97.57137237841583,-2.4286276215841696,FALSE,Low
location,Carrickalinga,invert_phylum_simpson,M2 invertebrate Mollusca Simpson diversity,period_split,Bloom 2026-01,overall,Overall,1.5372528882589176,0.03837861932347919,378,1.2320270148465542,0.09657793318772041,64,-0.3052258734123634,80.14471947045354,-19.855280529546462,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period,Bloom,by_status,Fished,1.072318780907807,0.038223962781377435,212,1.04202854322214,0.08381403316183005,44,-0.030290237685667076,97.1752581205354,-2.8247418794645966,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period,Bloom,by_status,No-take,1.5506552931414153,0.03284224130035819,166,1.3957437719595593,0.06154876994700186,20,-0.15491152118185592,90.00993180966567,-9.990068190334327,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period,Bloom,overall,Overall,1.2823819053278571,0.028555504343449754,378,1.1525645522025836,0.06387527768970748,64,-0.12981735312527354,89.87685707464158,-10.123142925358422,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-01,by_status,Fished,1.072318780907807,0.038223962781377435,212,1.04202854322214,0.08381403316183005,44,-0.030290237685667076,97.1752581205354,-2.8247418794645966,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-01,by_status,No-take,1.5506552931414153,0.03284224130035819,166,1.3957437719595593,0.06154876994700186,20,-0.15491152118185592,90.00993180966567,-9.990068190334327,FALSE,Low
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-01,overall,Overall,1.2823819053278571,0.028555504343449754,378,1.1525645522025836,0.06387527768970748,64,-0.12981735312527354,89.87685707464158,-10.123142925358422,FALSE,Low
location,Carrickalinga,shannon_diversity,M2 fish Shannon diversity,period,Bloom,by_status,Fished,0.3219535251608163,0.02212131418585391,211,0.08202645558115915,0.03142449812895799,44,-0.23992706957965718,25.47773177516438,-74.52226822483561,FALSE,High
