"reporting_name","metric","model_type","formula","family_used","fallback_used","fallback_reason","model_ok","model_issue","nbinom2_dispersion"
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 42398000",TRUE,NA,42397932.61917303
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 29675000",TRUE,NA,29675348.12650242
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.397067327944056
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.5684927607965595
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 6478900",TRUE,NA,6478883.638095516
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 10276000",TRUE,NA,10276023.380572416
"Boston Bay","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 14927000",TRUE,NA,14926836.80217185
"Boston Bay","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 863530000",TRUE,NA,863528100.1039982
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,163.1695875089756
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,163.1695875089756
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,106.72973564923842
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,742.0135976438239
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,13.013857440685097
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,13.013857440685097
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian",TRUE,NA,0.8691154540035908
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian",TRUE,NA,0.8691154540035908
