"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","family_selection_reason","1","metric_id"
"Bloom","Fished",7.416666666659086,0.7861650333525887,Inf,6.025340360853403,9.129267584900555,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
"Pre-bloom","No-take",9.583333333313153,0.8936503734355097,Inf,7.982549993556784,11.50513029690024,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
"Bloom","No-take",7.666666666666306,0.7993051920389821,Inf,6.249750682590979,9.404819610084761,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
"Pre-bloom","Fished",10.318138594214563,1.216229824157147,Inf,8.189694243482036,12.999750770201462,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","Fished",11.816121273242636,3.618927531321421,Inf,6.483016842776761,21.53638118332819,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","No-take",11.557802768186221,1.3717975638036957,Inf,9.158957083277793,14.5849362120263,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","No-take",13.147908392611907,4.011474233308587,Inf,7.230228306481352,23.90899536955866,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","Fished",11.087317430338157,1.41187613121439,Inf,8.638397053182842,14.230488254274778,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","Fished",9.288870823462432,1.2699138089198245,Inf,7.105460057945613,12.143213876557697,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","No-take",9.438774288412613,1.2473585067507296,Inf,7.28495894894581,12.22937022596279,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","No-take",8.58742019540092,1.1988555549226907,Inf,6.531754520313044,11.290042420155942,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","Fished",4.624999994355493,0.760345253437969,Inf,3.351005003101049,6.3833461686846915,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Bloom","Fished",4.249999976464975,0.7288689249567669,Inf,3.0367502708961776,5.947970095882088,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Pre-bloom","No-take",4.4999999930063534,0.7499999378538806,Inf,3.245978214867518,6.238489169245294,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Bloom","No-take",4.499999981522673,0.6123723846030422,Inf,3.446503016142799,5.875520705728881,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Pre-bloom","No-take",12.342053533635726,1.2014698321514534,Inf,10.198233728469939,14.936536020143159,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","No-take",21.013660878433924,2.9995140371097313,Inf,15.885476098058788,27.797337693126174,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","Fished",6.953660743027929,1.9324764273563364,Inf,4.033276224482123,11.988615467401157,"Glenelg","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","Fished",3.1231175909345006,1.1242233548669929,Inf,1.5423493587123922,6.324029916897291,"Glenelg","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","Fished",7.911764754828328,0.48238877236092664,Inf,7.020607533155175,8.91604056203553,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
