"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Bloom",7.686042261315552,1.1799667637681786,Inf,5.688865838939607,10.384362597965604,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",5.913348500282817,0.7279937410978803,Inf,4.645600396960051,7.5270551700225665,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness",NA,"richness"
"Bloom",5.543258181395016,1.1877998453104794,Inf,3.6422613178642886,8.436437856584265,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",6.594673063748478,0.6832713081755707,Inf,5.382705699093748,8.07952640343161,"Boston Bay","Species richness",NA,"richness"
"Bloom",6.3726415384976764,0.936541579069879,Inf,4.777761683086264,8.499913321744643,"Boston Bay","Species richness",NA,"richness"
"Pre-bloom",9.157191907017676,0.6190933909844887,Inf,8.020747475028807,10.45465698590004,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness",NA,"richness"
"Bloom",7.540630770374443,0.5632305401110244,Inf,6.513719934118654,8.729437708440791,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",10.92037574955964,1.256021248201765,Inf,8.716367387560235,13.681686556921315,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness",NA,"richness"
"Bloom",12.46423840585482,3.7345106389343785,Inf,6.9283594642916695,22.42338028774168,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",10.338036456320046,0.7964623011285802,Inf,8.889142083194995,12.023094779219525,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness",NA,"richness"
"Bloom",8.995866725814926,0.7589466261225558,Inf,7.624834421247674,10.613426295935493,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",4.562071849939613,0.5340002093344327,Inf,3.626829758701274,5.738482627721727,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness",NA,"richness"
"Bloom",4.3732138738873045,0.47871353041209463,Inf,3.5287752911206693,5.419727244997422,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",14.687530254193105,2.186339239028763,Inf,10.970883623405506,19.66327894570031,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness",NA,"richness"
"Bloom",21.071760659249435,4.943306492668542,Inf,13.304977237313983,33.37240563143805,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",7.34106225863316,1.517958753903634,Inf,4.894975004544147,11.009493416227748,"Glenelg","Species richness",NA,"richness"
"Bloom",3.1189565628410594,0.9427208863668498,Inf,1.7247621819256107,5.640134125638476,"Glenelg","Species richness",NA,"richness"
"Pre-bloom",8.309520352279208,0.39252710172251304,Inf,7.5747219336848595,9.115599105742046,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness",NA,"richness"
"Bloom",7.343683509151858,0.5863019394162502,Inf,6.279948441812846,8.587600357276331,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",7.422014673448216,0.8658004066776671,Inf,5.90509080341915,9.328612149534552,"O'Sullivan","Species richness",NA,"richness"
"Bloom",4.421188814099455,0.9459209006530866,Inf,2.9068527862766143,6.724423961956384,"O'Sullivan","Species richness",NA,"richness"
"Pre-bloom",5.266878048281539,0.37506263217391406,Inf,4.580763476927143,6.055760031093864,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness",NA,"richness"
"Bloom",2.8284269263841257,0.49094750497571493,Inf,2.0127816372590144,3.974598500803629,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",12.916666838593299,1.3105517062876941,Inf,10.587313924731475,15.758509042551825,"Orcades Bank - Orcades Bank Sanctuary Zone","Species richness","overall","richness"
"Pre-bloom",7.682953541700202,0.5667279686075871,Inf,6.648748267745833,8.878028276431685,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness",NA,"richness"
"Bloom",9.246620857316806,0.6208193944116988,Inf,8.106497664694963,10.547094542607685,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",8.237373818308416,1.0660709852910344,Inf,6.39186064393784,10.615739485326118,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness",NA,"richness"
"Bloom",8.433995358585774,2.835391858903747,Inf,4.363864383603863,16.30029520988513,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",9.554639477575007,0.6834399592825432,Inf,8.30478055812747,10.99260057595294,"Rapid Head - Rapid Head Sanctuary Zone","Species richness",NA,"richness"
"Bloom",8.941244854822921,1.5684263682840809,Inf,6.339933012392972,12.609890261872378,"Rapid Head - Rapid Head Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",12.839461646106592,0.661568675082264,Inf,11.606135402211743,14.203847331509412,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness",NA,"richness"
"Bloom",14.176809694094322,1.1998444376332862,Inf,12.009852079096122,16.734755080987888,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",10.310783079765676,0.7542200432192381,Inf,8.93361827448812,11.900245169594918,"The Pages - The Pages Sanctuary Zone","Species richness",NA,"richness"
"Bloom",8.82653713114086,0.8570394211170158,Inf,7.29693292834524,10.676781394655881,"The Pages - The Pages Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",7.608103549325652,1.2981475525260835,Inf,5.4455090770238765,10.629536889670634,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness",NA,"richness"
"Bloom",10.13350990284174,1.9179780424513242,Inf,6.9928184941592875,14.684783115243327,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",7.255774390758409,0.3904801713268884,Inf,6.529427549958887,8.06292153588825,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness",NA,"richness"
"Bloom",4.157351681644516,0.6680275623257925,Inf,3.0341757017443904,5.696299326019887,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness",NA,"richness"
"Pre-bloom",0.49949668899115246,0.10191999261769788,Inf,0.3348488948314812,0.7451030783263833,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.2794701393411454,0.15370899456852255,Inf,0.09509841743900865,0.8212918877798459,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
