"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","Status","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2021-10-12",31.454545696733444,7.457601626412768,Inf,19.763819049212906,50.060590138184594,"Not modelled by Status","2021-10-12","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2022-12-01",51.249996528879215,11.517534347968493,Inf,32.991440675542414,79.61344186334011,"Not modelled by Status","2022-12-01","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2023-12-01",21.250000857260478,4.882888036922294,Inf,13.544636184204752,33.33884574619777,"Not modelled by Status","2023-12-01","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2024-12-19",33.000001066825874,7.481900806471854,Inf,21.16049946013993,51.46381693219765,"Not modelled by Status","2024-12-19","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2025-02-04",19.39999817667932,6.9303896224266,Inf,9.632107782092971,39.07347568876365,"Not modelled by Status","2025-02-04","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2025-11-13",117.64706140234041,22.01055681675339,Inf,81.53236084330871,169.75874258327647,"Not modelled by Status","2025-11-13","Bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2026-03-06",27.588235656397952,5.280446199463094,Inf,18.958421095989472,40.14631507441067,"Not modelled by Status","2026-03-06","Bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 37.118, greater than the threshold of 1.5",NA,"total_abundance"
"2014-09-03",103.16667245657587,19.83117232470683,Inf,70.78113901003111,150.37003437107776,"Fished","2014-09-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5",NA,"total_abundance"
"2016-03-11",106.99999445585541,22.513495501825034,Inf,70.84111830455016,161.61516203531917,"Fished","2016-03-11","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5",NA,"total_abundance"
"2016-11-03",83.57142805040236,14.948861485466592,Inf,58.857108195383766,118.66338324334048,"Fished","2016-11-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5",NA,"total_abundance"
