"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom",8.490521446853522,0.9471004919119795,Inf,6.82314425262565,10.56535693375363,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.07, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.43762608347453,2.366481718774109,Inf,4.869515164064201,14.620250995400973,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.07, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",9.520844327768208,0.7432809146757842,Inf,8.170021118129867,11.095011310612767,"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.009, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.91966669466613,1.602241105604879,Inf,6.2725937582369236,12.68382060283444,"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.009, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",12.78262945521959,0.7708914022133022,Inf,11.357589411629238,14.386469687145388,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.231, not greater than the threshold of 1.5",NA,"richness"
"Bloom",14.062779014724176,1.2520881400359622,Inf,11.81092472591061,16.743968673606073,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.231, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",10.265587553100422,0.9180938104508961,Inf,8.615040999541442,12.232360567521335,"The Pages - The Pages Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.895, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.60801380108332,0.9636028099581176,Inf,6.91221604225913,10.71984746232315,"The Pages - The Pages Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.895, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.501454959296201,1.5707882369119395,Inf,4.049071613664815,10.439162509526371,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.756, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.899476583642313,2.1132631718029713,Inf,5.587773214786494,14.173925894704386,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.756, not greater than the threshold of 1.5",NA,"richness"
