"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Bloom",3.1030216563368307,1.1117315191676136,Inf,1.5375227535589797,6.262504653935847,"Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.084, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",8.309520389361872,0.392527091962523,Inf,7.574721988055722,9.115599121670725,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.438, not greater than the threshold of 1.5",NA,"richness"
"Bloom",7.343683557069971,0.5863019256548679,Inf,6.279948512266998,8.587600373002388,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.438, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.891221390008798,1.1396771830875825,Inf,4.983375673878971,9.52947065480822,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.004, not greater than the threshold of 1.5",NA,"richness"
"Bloom",4.352991204775384,0.920849114552354,Inf,2.8755519732919694,6.589528759989449,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.004, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",4.857374979047335,0.7638972252705352,Inf,3.568921898578252,6.61098571433414,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.9, not greater than the threshold of 1.5",NA,"richness"
"Bloom",2.746275639583369,0.5862431862399873,Inf,1.8073383168073494,4.173003924296801,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.9, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",12.916666838593299,1.3105517062876941,Inf,10.587313924731475,15.758509042551825,"Orcades Bank - Orcades Bank Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.822, greater than the threshold of 1.5","overall","richness"
"Pre-bloom",7.664390682667037,0.6073623659829994,Inf,6.561821625245513,8.952222094936236,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.74, not greater than the threshold of 1.5",NA,"richness"
"Bloom",9.164147134321915,0.6737796126520328,Inf,7.934303129288592,10.584621148326427,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.74, not greater than the threshold of 1.5",NA,"richness"
