genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Hypoplectrodes nigroruber,Teleost,Target,Carnivore,Banded seaperch,fusiform / normal,reef-associated,NA,reef,Demersal,No,Y,NA
Latropiscis purpurissatus,Teleost,Target,Carnivore,Sergeant baker,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Meuschenia australis,Teleost,Target,Omnivore,Southern leatherjacket,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Meuschenia flavolineata,Teleost,Target,Omnivore,Yellow-striped leatherjacket,short and / or deep,reef-associated,NA,reef,NA,NA,Y,benthopelagic leatherjackets?
Meuschenia galii,Teleost,Target,Omnivore,Blue-lined leatherjacket,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Meuschenia venusta,Teleost,Target,Omnivore,Stars and stripes leatherjacket,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Monacanthidae juvenile,Teleost,Non-target,Omnivore,Leatherjacket juvenile,short and / or deep,reef-associated,#1CB4FB,reef/seagrass/unconsolidated,NA,NA,Y,NA
Neatypus obliquus,Teleost,Non-target,Planktivore,Footballer sweep,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Neosebastes bougainvillii,Teleost,Target,Carnivore,Gulf gurnard perch,short and / or deep,reef-associated,NA,reef/seagrass/unconsolidated,NA,NA,Y,NA
Neosebastes pandus,Teleost,Target,Carnivore,Bighead gurnard perch,short and / or deep,reef-associated,NA,reef/seagrass/unconsolidated,NA,NA,Y,NA
Neosebastes scorpaenoides,Teleost,Target,Carnivore,Common gurnard perch,short and / or deep,reef-associated,NA,reef/seagrass/unconsolidated,NA,NA,Y,NA
Notolabrus fucicola,Teleost,Non-target,Carnivore,Purple wrasse,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Notolabrus parilus,Teleost,Non-target,Carnivore,Brownspotted wrasse,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Notolabrus tetricus,Teleost,Target,Carnivore,Bluethroat wrasse,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
