dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M2_cryptic,M2 fish,Carrickalinga,cap_period,Dodd's Beach,No-take,0.12239435100498697,0.059529603056483,11
M2_cryptic,M2 fish,Carrickalinga,cap_period,Haycock Point,Fished,0.25074476773384013,-0.3892207304357665,7
M2_cryptic,M2 fish,Carrickalinga,cap_period,Lady Bay,Fished,0.04555327433169495,0.07924332833086598,3
M2_cryptic,M2 fish,Carrickalinga,cap_period,Myponga,Fished,0.11246824938290499,0.10198626838805921,4
M2_cryptic,M2 fish,Carrickalinga,cap_period,Myponga South,No-take,-0.2724886066508641,-0.4801967469236401,11
M2_cryptic,M2 fish,Carrickalinga,cap_period,Normanville Beach,Fished,0.6715284563040371,0.11189238338566754,5
M2_cryptic,M2 fish,Carrickalinga,cap_period,Ripple Rock,No-take,-0.3754383115757383,-0.5107793863495965,11
M2_cryptic,M2 fish,Carrickalinga,cap_period,South Shores,Fished,0.5435447761021573,0.7282956100526996,3
M2_cryptic,M2 fish,Carrickalinga,cap_period,Yankalilla Mouth,Fished,1.4008423332385664,0.9135231957345249,3
M2_cryptic,M2 fish,Carrickalinga,cap_status,Carrickalinga (toilet),Fished,-0.8156640646004429,0.15913123529164416,14
M2_cryptic,M2 fish,Carrickalinga,cap_status,Carrickalinga Head,No-take,1.051254786898373,-0.3389017288292052,13
M2_cryptic,M2 fish,Carrickalinga,cap_status,Carrickalinga North Site,Fished,-0.7591067540218631,0.47802585903731365,8
M2_cryptic,M2 fish,Carrickalinga,cap_status,Carrickalinga North Site 2,Fished,-0.8231283965234941,-0.22573845486436128,9
M2_cryptic,M2 fish,Carrickalinga,cap_status,Carrickalinga Nth,Fished,-0.6903180738482013,0.34217943369761455,8
M2_cryptic,M2 fish,Carrickalinga,cap_status,Dodd's Beach,No-take,1.055259491678889,-0.37570109104094773,11
M2_cryptic,M2 fish,Carrickalinga,cap_status,Haycock Point,Fished,-0.5514048199983244,-0.026282520087674188,7
M2_cryptic,M2 fish,Carrickalinga,cap_status,Lady Bay,Fished,-0.843013415308245,0.4364766152055544,3
M2_cryptic,M2 fish,Carrickalinga,cap_status,Myponga,Fished,-0.7931016569949392,0.1450456880839508,4
M2_cryptic,M2 fish,Carrickalinga,cap_status,Myponga South,No-take,1.1501360506331046,0.34350145927961473,11
M2_cryptic,M2 fish,Carrickalinga,cap_status,Normanville Beach,Fished,-0.7147489784282945,-0.5664042352523466,5
M2_cryptic,M2 fish,Carrickalinga,cap_status,Ripple Rock,No-take,1.158515035740773,0.43271985674130364,11
M2_cryptic,M2 fish,Carrickalinga,cap_status,South Shores,Fished,-1.271263113296388,-0.3843171401154064,3
M2_cryptic,M2 fish,Carrickalinga,cap_status,Yankalilla Mouth,Fished,-1.0992208820859057,-1.4928319676379984,3
M2_cryptic,M2 fish,Eastern Spencer Gulf,cap_period,Corny Point Outside,Fished,-0.9246021850109322,-1.2453214554203473,2
M2_cryptic,M2 fish,Eastern Spencer Gulf,cap_period,Point Souttar,Fished,0.39527541732176263,1.611873363560096,2
M2_cryptic,M2 fish,Eastern Spencer Gulf,cap_period,Point Turton,Fished,0.5293267676891695,-0.36655190813974875,2
M2_cryptic,M2 fish,Encounter Bay,cap_period,Encounter Deep,Fished,0.4825462251411463,-0.6939522658111874,4
M2_cryptic,M2 fish,Encounter Bay,cap_period,Olivers Reef,Fished,0.42343548573660605,-0.542696546978709,6
M2_cryptic,M2 fish,Encounter Bay,cap_period,Outside Granite island,Fished,0.35289841819223833,-0.4543385620524684,8
M2_cryptic,M2 fish,Encounter Bay,cap_period,Port Elliot Deep,No-take,0.3128665647029977,-0.36944055470869763,3
M2_cryptic,M2 fish,Encounter Bay,cap_period,Pullen Island,No-take,-0.022856729566567247,-0.03987079313405231,5
M2_cryptic,M2 fish,Encounter Bay,cap_period,The Bluff,Fished,-0.6862686775181155,0.9731444276681667,11
M2_cryptic,M2 fish,Encounter Bay,cap_period,Whalebone Reef,Fished,-0.06326063934433482,0.02997597410925214,9
M2_cryptic,M2 fish,Encounter Bay,cap_status,Encounter Deep,Fished,-0.05179043747543392,-0.7305332450147675,4
M2_cryptic,M2 fish,Encounter Bay,cap_status,Olivers Reef,Fished,-0.06584558554346183,-0.596698189327676,6
M2_cryptic,M2 fish,Encounter Bay,cap_status,Outside Granite island,Fished,-0.08551765126764355,-0.4912104455368491,8
M2_cryptic,M2 fish,Encounter Bay,cap_status,Port Elliot Deep,No-take,1.8419729206548099,-0.22548964123500204,3
M2_cryptic,M2 fish,Encounter Bay,cap_status,Pullen Island,No-take,1.6553135581210972,0.13529378474100076,5
M2_cryptic,M2 fish,Encounter Bay,cap_status,The Bluff,Fished,-0.7688753220237311,0.9491804640598546,11
M2_cryptic,M2 fish,Encounter Bay,cap_status,Whalebone Reef,Fished,-0.4509423930005796,-9.977138153867875e-4,9
M2_cryptic,M2 fish,Metro,cap_period,Broken Bottom,Fished,0.29781018114759084,-0.8205948869790908,9
M2_cryptic,M2 fish,Metro,cap_period,Hallett Cove,Fished,-0.4597503940148215,0.5894670085079248,8
M2_cryptic,M2 fish,Metro,cap_period,Marino Rocks,Fished,0.12471394022378188,0.33370223934355253,8
M2_cryptic,M2 fish,Rapid Head,cap_period,2nd Valley Boat Shed,Fished,-0.15793590795438667,0.005229467660892173,19
M2_cryptic,M2 fish,Rapid Head,cap_period,Cape Jervis South,Fished,0.08124366017957294,-1.9768544131528598,4
M2_cryptic,M2 fish,Rapid Head,cap_period,Lasseters Reef,Fished,-0.018576145633645756,0.21829550676022094,12
M2_cryptic,M2 fish,Rapid Head,cap_period,Morgans,Fished,0.164090247337711,0.7665449602507075,12
M2_cryptic,M2 fish,Rapid Head,cap_period,Nev's Windmills,Fished,0.1030899547222552,0.20667556323752637,12
M2_cryptic,M2 fish,Rapid Head,cap_period,Rapid Head,No-take,-0.08753776897050215,-0.0309703934308159,16
M2_cryptic,M2 fish,Rapid Head,cap_period,Rapid Head East,Fished,-0.03943947496694676,-0.2942969385747006,11
M2_cryptic,M2 fish,Rapid Head,cap_period,Rapid Head SZ,No-take,0.046100069201997745,-0.2044041774747304,11
M2_cryptic,M2 fish,Rapid Head,cap_period,Rapid Head SZ Site2,No-take,0.08001722807211645,0.1455436382177064,10
M2_cryptic,M2 fish,Rapid Head,cap_period,Rapid Head South,No-take,0.021972441952051842,-0.19643324066672352,10
M2_cryptic,M2 fish,Rapid Head,cap_status,2nd Valley Boat Shed,Fished,-0.6327967281936407,-0.07678393541268919,19
M2_cryptic,M2 fish,Rapid Head,cap_status,Cape Jervis South,Fished,-0.7672375938969519,-1.894704688962461,4
M2_cryptic,M2 fish,Rapid Head,cap_status,Lasseters Reef,Fished,-0.7579972092041819,0.14691968579553755,12
