dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
M1,M1 fish,Carrickalinga,Myponga South_13,Myponga South,No-take,Pre-bloom,13,2019-02-19,0.2686783402620265,0.23389125764068916,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_14,Myponga South,No-take,Pre-bloom,14,2020-02-09,-0.2555668714647088,0.8223484478537499,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_15,Myponga South,No-take,Pre-bloom,15,2021-03-10,-0.20578536120983015,0.5201810664161947,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_19,Myponga South,No-take,Bloom,19,2026-01-13,1.5019621806164578,0.575643612966526,3.7,2.4
M1,M1 fish,Carrickalinga,Normanville Beach_7,Normanville Beach,Fished,Pre-bloom,7,2012-11-23,0.7805682368073338,-2.4437312373687154,3.7,2.4
M1,M1 fish,Carrickalinga,Normanville Beach_8,Normanville Beach,Fished,Pre-bloom,8,2013-02-28,0.23228265307335846,-2.1259464401267203,3.7,2.4
M1,M1 fish,Carrickalinga,Normanville Beach_11,Normanville Beach,Fished,Pre-bloom,11,2017-02-14,0.7117873950538276,-2.260402338856788,3.7,2.4
M1,M1 fish,Carrickalinga,Normanville Beach_12,Normanville Beach,Fished,Pre-bloom,12,2018-02-06,0.6591826632127787,-2.223595712065576,3.7,2.4
M1,M1 fish,Carrickalinga,Normanville Beach_19,Normanville Beach,Fished,Bloom,19,2026-01-13,1.7407069693907045,-1.9920567557456688,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_1,Ripple Rock,No-take,Pre-bloom,1,2005-03-08,-1.0374343047235324,1.5148553688148831,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_2,Ripple Rock,No-take,Pre-bloom,2,2006-02-23,-0.9250396011310777,1.2055227725085147,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_3,Ripple Rock,No-take,Pre-bloom,3,2007-02-22,-0.8406253524632162,1.2191213579543474,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_10,Ripple Rock,No-take,Pre-bloom,10,2016-02-09,-0.5951016823455072,1.0587914823557576,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_11,Ripple Rock,No-take,Pre-bloom,11,2017-02-14,-0.7454357645756935,1.329249331145568,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_12,Ripple Rock,No-take,Pre-bloom,12,2018-02-06,-0.71071264173687565,1.1998336161525434,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_13,Ripple Rock,No-take,Pre-bloom,13,2019-02-19,-0.5205490128092463,0.9672306870423347,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_14,Ripple Rock,No-take,Pre-bloom,14,2020-02-09,-0.550593683336663,0.7378228599459605,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_15,Ripple Rock,No-take,Pre-bloom,15,2021-03-10,0.14101427958694676,0.3777847730085862,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_16,Ripple Rock,No-take,Pre-bloom,16,2023-02-20,-0.3104272883318971,0.646360823441822,3.7,2.4
M1,M1 fish,Carrickalinga,Ripple Rock_19,Ripple Rock,No-take,Bloom,19,2026-01-13,1.6302334103881786,0.40909065911361236,3.7,2.4
M1,M1 fish,Carrickalinga,South Shores_11,South Shores,Fished,Pre-bloom,11,2017-02-14,0.25750243366270464,-1.6195919627421795,3.7,2.4
M1,M1 fish,Carrickalinga,South Shores_12,South Shores,Fished,Pre-bloom,12,2018-02-06,0.249912451062543,-1.0254340689130443,3.7,2.4
M1,M1 fish,Carrickalinga,South Shores_19,South Shores,Fished,Bloom,19,2026-01-13,1.7869930040812818,-1.7857376599762005,3.7,2.4
M1,M1 fish,Carrickalinga,Yankalilla Mouth_11,Yankalilla Mouth,Fished,Pre-bloom,11,2017-02-14,0.7188184978311163,-2.398265620170004,3.7,2.4
M1,M1 fish,Carrickalinga,Yankalilla Mouth_12,Yankalilla Mouth,Fished,Pre-bloom,12,2018-02-06,-0.017667674731597614,-1.952748772173265,3.7,2.4
M1,M1 fish,Carrickalinga,Yankalilla Mouth_19,Yankalilla Mouth,Fished,Bloom,19,2026-01-13,1.31399002603253,-2.2686437119788097,3.7,2.4
M1,M1 fish,Encounter Bay,Encounter Deep_8,Encounter Deep,Fished,Pre-bloom,8,2017-04-14,0.995588154548702,0.9582088860502818,3.9,3.3
M1,M1 fish,Encounter Bay,Encounter Deep_9,Encounter Deep,Fished,Pre-bloom,9,2018-01-27,0.26020011839119994,0.5220535191349263,3.9,3.3
M1,M1 fish,Encounter Bay,Encounter Deep_10,Encounter Deep,Fished,Pre-bloom,10,2020-01-31,-0.1259023451155766,0.3101766971047713,3.9,3.3
M1,M1 fish,Encounter Bay,Encounter Deep_13,Encounter Deep,Fished,Bloom,13,2026-05-29,1.7637216068699537,0.7867002313876812,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_6,Olivers Reef,Fished,Pre-bloom,6,2013-03-04,-0.32332065282358047,0.26534477508998017,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_7,Olivers Reef,Fished,Pre-bloom,7,2013-11-01,-0.45607524016551815,-0.18064758214895849,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_8,Olivers Reef,Fished,Pre-bloom,8,2017-04-14,0.15703209668889886,0.3236906528663337,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_9,Olivers Reef,Fished,Pre-bloom,9,2018-01-27,-0.44013919845395716,-0.07372259389544994,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_11,Olivers Reef,Fished,Bloom,11,2025-06-20,1.5750553917578458,0.571763327170221,3.9,3.3
M1,M1 fish,Encounter Bay,Olivers Reef_12,Olivers Reef,Fished,Bloom,12,2026-02-16,1.9554530903222895,1.096622283575626,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_1,Outside Granite island,Fished,Pre-bloom,1,2005-03-12,-0.7115470219754253,-0.8301813382553805,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_2,Outside Granite island,Fished,Pre-bloom,2,2006-02-24,-0.5905327999346173,-0.6961856606519876,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_3,Outside Granite island,Fished,Pre-bloom,3,2007-02-20,-0.2282747421125728,-0.23961943015313691,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_4,Outside Granite island,Fished,Pre-bloom,4,2007-09-24,-0.24222953339089004,-0.5651856637271535,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_8,Outside Granite island,Fished,Pre-bloom,8,2017-04-14,-0.3960661713453595,-0.6055205115181155,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_9,Outside Granite island,Fished,Pre-bloom,9,2018-01-27,-0.7359507358361435,-0.08543787733718022,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_11,Outside Granite island,Fished,Bloom,11,2025-06-20,0.8048177023374664,-0.5077003419106895,3.9,3.3
M1,M1 fish,Encounter Bay,Outside Granite island_13,Outside Granite island,Fished,Bloom,13,2026-05-29,1.696270367014292,0.345146243692707,3.9,3.3
M1,M1 fish,Encounter Bay,Port Elliot Deep_9,Port Elliot Deep,No-take,Pre-bloom,9,2018-01-27,0.29505261784212056,2.2355623207414053,3.9,3.3
M1,M1 fish,Encounter Bay,Port Elliot Deep_12,Port Elliot Deep,No-take,Bloom,12,2026-02-16,0.7987975210374406,1.292592838450403,3.9,3.3
M1,M1 fish,Encounter Bay,Pullen Island_6,Pullen Island,No-take,Pre-bloom,6,2013-03-04,-0.03325595378785602,1.6526649525669233,3.9,3.3
M1,M1 fish,Encounter Bay,Pullen Island_7,Pullen Island,No-take,Pre-bloom,7,2013-11-01,0.8094341695671293,2.0847672724049207,3.9,3.3
