"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2015-12-10",8.931854132349908,0.6998557535918639,Inf,7.66029851822857,10.414479024771042,"2015-12-10","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2016-12-06",6.162719415202544,0.5145806765310228,Inf,5.232364005488923,7.258499322805725,"2016-12-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2017-12-05",10.118518103419172,0.6658682506404868,Inf,8.894099488362185,11.51149801541912,"2017-12-05","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2018-12-11",10.772562971536814,0.7023313844427043,Inf,9.4803383939015,12.2409251815713,"2018-12-11","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2020-12-04",11.409358802414436,0.7093057878966842,Inf,10.100504960223882,12.887817866023447,"2020-12-04","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-02-06",17.60693424017088,2.184712108175136,Inf,13.805894225030176,22.454476927373687,"2025-02-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-02-20",15.652530556408722,0.8563115451791605,Inf,14.061038979084877,17.424154302092262,"2025-02-20","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-12-17",12.491998930876484,0.7441556320811333,Inf,11.11540696593175,14.039075471308063,"2025-12-17","Bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2015-11-15",10.21941582967511,0.9151491937037296,Inf,8.574344540703404,12.18011002520861,"2015-11-15","Pre-bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-12-04",8.910802260624386,0.8473356932460446,Inf,7.395632709366283,10.736389981534456,"2025-12-04","Bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2017-01-12",4.562071891394754,0.5340001898966712,Inf,3.626829829506026,5.738482619982414,"2017-01-12","Pre-bloom","Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2026-02-16",4.373213900046938,0.4787135135784994,Inf,3.528775343380263,5.41972722957298,"2026-02-16","Bloom","Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2016-01-19",12.000074040297285,1.4142178073813463,Inf,9.525092010894065,15.118150754650841,"2016-01-19","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2017-02-25",15.500024438653394,1.136515942669986,Inf,13.42515510726393,17.895566619476917,"2017-02-25","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2019-02-16",11.818154326264908,1.0365218217486238,Inf,9.951630954670813,14.034761971740943,"2019-02-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2020-04-10",7.7499910204781886,0.8036370308797609,Inf,6.324637915249139,9.496569071990358,"2020-04-10","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2022-03-16",15.500027966362104,1.136516072001884,Inf,13.425158382299221,17.89557039973345,"2022-03-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-11-10",21.08332864343119,1.3254975521649615,Inf,18.63908524270321,23.8480988148783,"2025-11-10","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
