"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,182.1896345853561,-86.09481729267804,1,NA,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",165,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,828.2335411830635,-408.11677059153175,1,NA,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",165,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,814.8801891201692,-398.4400945600846,1,NA,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",46,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,250.1245360273006,-120.0622680136503,1,NA,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",46,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,250.1245360273006,-120.0622680136503,1,NA,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",36,2,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,65.45611022057864,-27.72805511028932,1,NA,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",36,2,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,65.45611022057864,-27.72805511028932,1,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct)",77,7,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,582.2384231345251,-288.11921156726254,1,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct",65,6,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,545.8526822709133,-266.92634113545665,1,NA,NA,NA
"Glenelg","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",98,6,2,1,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,275.98884352122064,-133.99442176061032,1,NA,NA,NA
